signal_id,symbol,es,at,residual,regime,final_state,mt5_ticket,timestamp_generated,timestamp_triggered,timestamp_submitted,timestamp_opened,timestamp_closed,pnl_points,pnl_money
SIG_20260616_150104_GBPJPY,GBPJPY,0.6865079365079365,0.8908730158730159,1.9717948587295913e-05,DYNAMIC,GENERATED,,2026-06-16T15:01:04.251166,,,,,0.0,0.0
SIG_20260616_150104_XAUUSD,XAUUSD,0.7976190476190477,0.17261904761904762,0.0005919860584165581,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:01:04.295342,2026-06-16T15:01:04.348652,,,,0.0,0.0
SIG_20260616_150104_EURUSD,EURUSD,0.5853174603174603,0.9186507936507936,2.323844529618973e-05,DYNAMIC,GENERATED,,2026-06-16T15:01:04.440430,,,,,0.0,0.0
SIG_20260616_150205_EURJPY,EURJPY,0.32341269841269843,0.9146825396825397,1.0489153536792926e-05,DYNAMIC,GENERATED,,2026-06-16T15:02:05.181891,,,,,0.0,0.0
SIG_20260616_150205_USDJPY,USDJPY,0.878968253968254,0.9503968253968254,1.4496027625545682e-05,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:02:05.222344,2026-06-16T15:02:05.262780,,,,0.0,0.0
SIG_20260616_150205_GBPJPY,GBPJPY,0.6884920634920635,0.8908730158730159,1.972929073532179e-05,DYNAMIC,GENERATED,,2026-06-16T15:02:05.318403,,,,,0.0,0.0
SIG_20260616_150205_XAUUSD,XAUUSD,0.7976190476190477,0.17261904761904762,0.0005917368969139032,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:02:05.359545,2026-06-16T15:02:05.401380,,,,0.0,0.0
SIG_20260616_150205_EURUSD,EURUSD,0.5853174603174603,0.9186507936507936,2.327855152888371e-05,DYNAMIC,GENERATED,,2026-06-16T15:02:05.460339,,,,,0.0,0.0
SIG_20260616_150306_EURJPY,EURJPY,0.31746031746031744,0.9146825396825397,1.0466037037907156e-05,DYNAMIC,GENERATED,,2026-06-16T15:03:06.182279,,,,,0.0,0.0
SIG_20260616_150306_USDJPY,USDJPY,0.878968253968254,0.9503968253968254,1.4496144341087387e-05,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:03:06.233333,2026-06-16T15:03:06.292031,,,,0.0,0.0
SIG_20260616_150306_GBPJPY,GBPJPY,0.6825396825396826,0.8908730158730159,1.9664028247016617e-05,DYNAMIC,GENERATED,,2026-06-16T15:03:06.360547,,,,,0.0,0.0
SIG_20260616_150306_XAUUSD,XAUUSD,0.7976190476190477,0.17261904761904762,0.0005917414177545443,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:03:06.410487,2026-06-16T15:03:06.476125,,,,0.0,0.0
